cat,event,event_date,h,car
GPU,AI,2025-04-13,2,-4.1553178169670586e-05
GPU,AI,2025-04-13,3,-0.0023738586262168435
GPU,AI,2025-04-13,4,-0.006279306576682603
GPU,AI,2025-04-13,5,-0.008121369634579306
GPU,AI,2025-04-13,6,-0.007177168706462558
GPU,AI,2025-04-13,7,-0.013247488737979537
GPU,AI,2025-04-13,8,-0.013925394650620303
GPU,AI,2025-05-18,0,-0.0018420630578967019
GPU,AI,2025-05-18,1,-0.0008978621297799547
GPU,AI,2025-05-18,2,-0.006968182161296934
GPU,AI,2025-05-18,3,-0.0076460880739377
GPU,AI,2025-05-18,4,-0.007354248973968395
GPU,AI,2025-05-18,5,-0.007112638848223034
GPU,AI,2025-05-18,6,-0.0020337302189889408
GPU,AI,2025-05-18,7,-0.00909536823793117
GPU,AI,2025-05-18,8,-0.004962388556177294
GPU,Crypto,2024-07-21,0,0.0016014452330359186
GPU,Crypto,2024-07-21,1,0.003842655901066951
GPU,Crypto,2024-07-21,2,0.0033285233640987528
GPU,Crypto,2024-07-21,3,0.0030169383733549106
GPU,Crypto,2024-07-21,4,0.0023755340245164387
GPU,Crypto,2024-07-21,5,0.0013853814016029546
GPU,Crypto,2024-07-21,6,-0.003668458635416848
GPU,Crypto,2024-07-21,7,-0.001376598758826053
GPU,Crypto,2024-07-21,8,0.00044872584487658587
GPU,Crypto,2024-10-20,0,0.0008975441262222843
GPU,Crypto,2024-10-20,1,-9.767988204010267e-05
GPU,Crypto,2024-10-20,2,-0.0024583498908982114
GPU,Crypto,2024-10-20,3,-0.0024926968192887393
GPU,Crypto,2024-10-20,4,-0.0016028055478784432
GPU,Crypto,2024-10-20,5,0.0009300654188556172
GPU,Crypto,2024-10-20,6,-0.002073136507835252
GPU,Crypto,2024-10-20,7,-0.003401282317454509
GPU,Crypto,2024-10-20,8,0.004263334987969137
GPU,Crypto,2024-11-17,0,0.000889891271410296
GPU,Crypto,2024-11-17,1,0.0034227622381443564
GPU,Crypto,2024-11-17,2,0.0004195603114534874
GPU,Crypto,2024-11-17,3,-0.0009085854981657703
GPU,Crypto,2024-11-17,4,0.006756031807257876
GPU,Crypto,2024-11-17,5,0.006830587564088481
GPU,Crypto,2024-11-17,6,0.008265250339241989
GPU,Crypto,2024-11-17,7,0.010844466199031679
GPU,Crypto,2024-11-17,8,0.017637424891688173
GPU,Crypto,2024-11-24,0,0.0025328709667340604
GPU,Crypto,2024-11-24,1,-0.00047033095995680863
GPU,Crypto,2024-11-24,2,-0.0017984767695760663
GPU,Crypto,2024-11-24,3,0.00586614053584758
GPU,Crypto,2024-11-24,4,0.005940696292678184
GPU,Crypto,2024-11-24,5,0.007375359067831691
GPU,Crypto,2024-11-24,6,0.009954574927621383
GPU,Crypto,2024-11-24,7,0.01674753362027788
GPU,Crypto,2024-11-24,8,0.008144579115639951
GPU,Crypto,2025-05-11,0,-0.003905447950465759
GPU,Crypto,2025-05-11,1,-0.00574751100836246
GPU,Crypto,2025-05-11,2,-0.004803310080245713
GPU,Crypto,2025-05-11,3,-0.010873630111762692
GPU,Crypto,2025-05-11,4,-0.011551536024403458
GPU,Crypto,2025-05-11,5,-0.011259696924434154
GPU,Crypto,2025-05-11,6,-0.011018086798688792
GPU,Crypto,2025-05-11,7,-0.0059391781694547
GPU,Crypto,2025-05-11,8,-0.013000816188396928
GPU,Crypto,2025-10-05,0,-0.0036568321050265548
GPU,Crypto,2025-10-05,1,-0.002995060329489814
GPU,Crypto,2025-10-05,2,0.0012499176653310356
GPU,Crypto,2025-10-05,3,-0.002562769403693063
GPU,Crypto,2025-10-05,4,-0.006514558864541147
GPU,Crypto,2025-10-05,5,0.0017915720991902237
GPU,Crypto,2025-10-05,6,0.0028153060576639965
GPU,Crypto,2025-10-05,7,-0.0013758828310345109
GPU,Crypto,2025-10-05,8,-0.0032569510092343426
GPU,Crypto,2026-03-15,0,-0.003874979482384508
GPU,Crypto,2026-03-15,1,-0.0036738178317847255
GPU,Crypto,2026-03-15,2,-0.008544083249652442
CPU,AI,2024-04-28,0,-0.0023464934784605367
CPU,AI,2024-04-28,1,-0.003351687353613561
CPU,AI,2024-04-28,2,-0.0005969674118760466
CPU,AI,2024-04-28,3,-0.001669832603620506
CPU,AI,2024-04-28,4,-0.0036118384403624293
CPU,AI,2024-04-28,5,-0.0058130915681860375
CPU,AI,2024-04-28,6,-0.0003445730806366648
CPU,AI,2024-04-28,7,-0.0013745859546302332
CPU,AI,2024-04-28,8,0.005426592072020432
CPU,AI,2024-05-26,0,-0.0019420058367419233
CPU,AI,2024-05-26,1,-0.004143258964565531
CPU,AI,2024-05-26,2,0.0013252595229838416
CPU,AI,2024-05-26,3,0.0002952466489902733
CPU,AI,2024-05-26,4,0.0070964246756409395
CPU,AI,2024-05-26,5,0.011196372625092661
CPU,AI,2024-05-26,6,0.010277715927178218
CPU,AI,2024-05-26,7,0.011424076022373698
CPU,AI,2024-05-26,8,0.014059409664325515
CPU,AI,2024-06-09,0,0.005468518487549373
CPU,AI,2024-06-09,1,0.004438505613555804
CPU,AI,2024-06-09,2,0.01123968364020647
CPU,AI,2024-06-09,3,0.015339631589658191
CPU,AI,2024-06-09,4,0.014420974891743748
CPU,AI,2024-06-09,5,0.01556733498693923
CPU,AI,2024-06-09,6,0.01820266862889105
CPU,AI,2024-06-09,7,0.01578540382468914
CPU,AI,2024-06-09,8,0.017639447183593508
CPU,AI,2024-06-16,0,-0.0010300128739935683
CPU,AI,2024-06-16,1,0.005771165152657097
CPU,AI,2024-06-16,2,0.009871113102108819
CPU,AI,2024-06-16,3,0.008952456404194375
CPU,AI,2024-06-16,4,0.010098816499389858
CPU,AI,2024-06-16,5,0.012734150141341674
CPU,AI,2024-06-16,6,0.010316885337139767
CPU,AI,2024-06-16,7,0.012170928696044133
CPU,AI,2024-06-16,8,0.0110801843178637
CPU,AI,2024-08-18,0,-0.002323148481086878
CPU,AI,2024-08-18,1,-0.002728673627634095
CPU,AI,2024-08-18,2,-0.01220853011909662
CPU,AI,2024-08-18,3,-0.012063869355025783
CPU,AI,2024-08-18,4,-0.01090218516307894
CPU,AI,2024-08-18,5,-0.002170784246699649
CPU,AI,2024-08-18,6,-0.0019341300176283316
CPU,AI,2024-08-18,7,-0.01164187182405868
CPU,AI,2024-08-18,8,-0.01953341562792755
CPU,AI,2024-09-15,0,0.0011616841919468435
CPU,AI,2024-09-15,1,0.009893085108326134
CPU,AI,2024-09-15,2,0.01012973933739745
CPU,AI,2024-09-15,3,0.00042199753096710223
CPU,AI,2024-09-15,4,-0.007469546272901764
CPU,AI,2024-09-15,5,-0.008193662049342213
CPU,AI,2024-09-15,6,-0.01941787067296511
CPU,AI,2024-09-15,7,-0.023576376028052362
CPU,AI,2024-09-15,8,-0.022286196844263292
CPU,AI,2025-04-13,0,-0.004306035448936525
CPU,AI,2025-04-13,1,0.0002861989147893585
CPU,AI,2025-04-13,2,-0.008160130731049363
CPU,AI,2025-04-13,3,-0.01508659655290303
CPU,AI,2025-04-13,4,-0.010050553151395353
CPU,AI,2025-04-13,5,-0.012280563764956662
CPU,AI,2025-04-13,6,-0.005561122624740331
CPU,AI,2025-04-13,7,-0.012643423387036688
CPU,AI,2025-04-13,8,-0.008689802748986886
CPU,AI,2025-05-18,0,-0.0022300106135613087
CPU,AI,2025-05-18,1,0.0044894305266550225
CPU,AI,2025-05-18,2,-0.002592870235641336
CPU,AI,2025-05-18,3,0.001360750402408466
CPU,AI,2025-05-18,4,0.0023565324853221967
CPU,AI,2025-05-18,5,0.0062426342753601535
CPU,AI,2025-05-18,6,0.007205663023760886
CPU,AI,2025-05-18,7,0.00535275416779655
CPU,AI,2025-05-18,8,0.012866331070503948
CPU,Crypto,2024-07-21,0,0.0026353336419518165
CPU,Crypto,2024-07-21,1,0.00021806883774990946
CPU,Crypto,2024-07-21,2,0.0020721121966542767
CPU,Crypto,2024-07-21,3,0.0009813678184738442
CPU,Crypto,2024-07-21,4,-0.0013417806626130338
CPU,Crypto,2024-07-21,5,-0.0017473058091602507
CPU,Crypto,2024-07-21,6,-0.011227162300622776
CPU,Crypto,2024-07-21,7,-0.011082501536551938
CPU,Crypto,2024-07-21,8,-0.009920817344605095
CPU,Crypto,2024-10-20,0,-0.0007241157764404492
CPU,Crypto,2024-10-20,1,-0.011948324400063345
CPU,Crypto,2024-10-20,2,-0.016106829755150598
CPU,Crypto,2024-10-20,3,-0.01481665057136153
CPU,Crypto,2024-10-20,4,-0.014180833979062524
CPU,Crypto,2024-10-20,5,-0.007678687907876834
CPU,Crypto,2024-10-20,6,-0.01297990030640623
CPU,Crypto,2024-10-20,7,-0.01627084479085237
CPU,Crypto,2024-10-20,8,-0.014199511189078529
CPU,Crypto,2024-11-17,0,0.0006358165922990062
CPU,Crypto,2024-11-17,1,0.007137962663484696
CPU,Crypto,2024-11-17,2,0.0018367502649552997
CPU,Crypto,2024-11-17,3,-0.0014541942194908398
CPU,Crypto,2024-11-17,4,0.000617139382283
CPU,Crypto,2024-11-17,5,0.00030174005731641994
CPU,Crypto,2024-11-17,6,0.0035577709287165386
CPU,Crypto,2024-11-17,7,0.007094382891900644
CPU,Crypto,2024-11-17,8,0.008936772588285046
CPU,Crypto,2024-11-24,0,0.0065021460711856905
CPU,Crypto,2024-11-24,1,0.001200933672656294
CPU,Crypto,2024-11-24,2,-0.0020900108117898456
CPU,Crypto,2024-11-24,3,-1.8677210016005818e-05
CPU,Crypto,2024-11-24,4,-0.0003340765349825859
CPU,Crypto,2024-11-24,5,0.0029219543364175328
CPU,Crypto,2024-11-24,6,0.006458566299601639
CPU,Crypto,2024-11-24,7,0.00830095599598604
CPU,Crypto,2024-11-24,8,0.013824431736050144
CPU,Crypto,2025-05-11,0,0.0050360434015076765
CPU,Crypto,2025-05-11,1,0.002806032787946368
CPU,Crypto,2025-05-11,2,0.009525473928162699
CPU,Crypto,2025-05-11,3,0.0024431731658663405
CPU,Crypto,2025-05-11,4,0.006396793803916142
CPU,Crypto,2025-05-11,5,0.007392575886829874
CPU,Crypto,2025-05-11,6,0.01127867767686783
CPU,Crypto,2025-05-11,7,0.012241706425268561
CPU,Crypto,2025-05-11,8,0.010388797569304224
CPU,Crypto,2025-10-05,0,0.007285863158609163
CPU,Crypto,2025-10-05,1,0.005900985244807023
CPU,Crypto,2025-10-05,2,0.005067387702318684
CPU,Crypto,2025-10-05,3,0.006854096565216284
CPU,Crypto,2025-10-05,4,0.0090767645352726
CPU,Crypto,2025-10-05,5,0.020608049024902875
CPU,Crypto,2025-10-05,6,0.022662823038044788
CPU,Crypto,2025-10-05,7,0.024909878834666097
CPU,Crypto,2025-10-05,8,0.02342756213985811
CPU,Crypto,2026-03-15,0,9.488888238208158e-05
CPU,Crypto,2026-03-15,1,0.0008481297553107971
CPU,Crypto,2026-03-15,2,0.001935262697401715
RAM,AI,2024-04-28,0,-0.0023356844122635087
RAM,AI,2024-04-28,1,-0.004332227138668392
RAM,AI,2024-04-28,2,-0.004608662874818112
RAM,AI,2024-04-28,3,-0.004978989296057593
RAM,AI,2024-04-28,4,-0.004925782909767941
RAM,AI,2024-04-28,5,-0.005127301313595553
RAM,AI,2024-04-28,6,-0.007178774868659584
RAM,AI,2024-04-28,7,-0.005433073404892487
RAM,AI,2024-04-28,8,-0.0019586792882234673
RAM,AI,2024-05-26,0,5.320638628965248e-05
RAM,AI,2024-05-26,1,-0.00014831201753795942
RAM,AI,2024-05-26,2,-0.0021997855726019902
RAM,AI,2024-05-26,3,-0.00045408410883489335
RAM,AI,2024-05-26,4,0.003020310007834126
RAM,AI,2024-05-26,5,0.002127564176314281
RAM,AI,2024-05-26,6,-0.0007786434783408746
RAM,AI,2024-05-26,7,-0.0005003674968336008
RAM,AI,2024-05-26,8,-0.0010368941078821299
RAM,AI,2024-06-09,0,-0.002051473555064031
RAM,AI,2024-06-09,1,-0.00030577209129693415
RAM,AI,2024-06-09,2,0.0031686220253720854
RAM,AI,2024-06-09,3,0.0022758761938522403
RAM,AI,2024-06-09,4,-0.0006303314608029154
RAM,AI,2024-06-09,5,-0.0003520554792956408
RAM,AI,2024-06-09,6,-0.0008885820903441699
RAM,AI,2024-06-09,7,-0.0007874611833800236
RAM,AI,2024-06-09,8,-0.002618113177358058
RAM,AI,2024-06-16,0,0.0017457014637670969
RAM,AI,2024-06-16,1,0.005220095580436117
RAM,AI,2024-06-16,2,0.004327349748916271
RAM,AI,2024-06-16,3,0.0014211420942611156
RAM,AI,2024-06-16,4,0.0016994180757683901
RAM,AI,2024-06-16,5,0.001162891464719861
RAM,AI,2024-06-16,6,0.001264012371684008
RAM,AI,2024-06-16,7,-0.0005666396222940261
RAM,AI,2024-06-16,8,-0.001877538288550716
RAM,AI,2024-08-18,0,-0.0003405464760388846
RAM,AI,2024-08-18,1,-0.004168014323993269
RAM,AI,2024-08-18,2,-0.007008958945839112
RAM,AI,2024-08-18,3,-0.008424126633550483
RAM,AI,2024-08-18,4,-0.010224639024548378
RAM,AI,2024-08-18,5,-0.008752955308192603
RAM,AI,2024-08-18,6,-0.01210654744457022
RAM,AI,2024-08-18,7,-0.026143441774630915
RAM,AI,2024-08-18,8,-0.03740219563760888
RAM,AI,2024-09-15,0,-0.0018005123909978936
RAM,AI,2024-09-15,1,-0.0003288286746421182
RAM,AI,2024-09-15,2,-0.0036824208110197336
RAM,AI,2024-09-15,3,-0.017719315141080428
RAM,AI,2024-09-15,4,-0.028978069004058395
RAM,AI,2024-09-15,5,-0.042861505426291385
RAM,AI,2024-09-15,6,-0.061385774515572394
RAM,AI,2024-09-15,7,-0.07271705882224425
RAM,AI,2024-09-15,8,-0.08421511235318059
RAM,AI,2025-04-13,0,-4.453548639065568e-06
RAM,AI,2025-04-13,1,0.003701516569877248
RAM,AI,2025-04-13,2,0.00046911173454475177
RAM,AI,2025-04-13,3,7.528968279369016e-05
RAM,AI,2025-04-13,4,-0.002807360292196133
RAM,AI,2025-04-13,5,-0.0038653289138677444
RAM,AI,2025-04-13,6,-0.0022496899163965845
RAM,AI,2025-04-13,7,-0.0055436652253793555
RAM,AI,2025-04-13,8,-0.007042893035913933
RAM,AI,2025-05-18,0,-0.0010579686216716116
RAM,AI,2025-05-18,1,0.0005576703757995485
RAM,AI,2025-05-18,2,-0.002736304933183222
RAM,AI,2025-05-18,3,-0.004235532743717799
RAM,AI,2025-05-18,4,-0.0043259698122246615
RAM,AI,2025-05-18,5,0.0022973177393749615
RAM,AI,2025-05-18,6,0.002288868106624015
RAM,AI,2025-05-18,7,0.001836527787346158
RAM,AI,2025-05-18,8,0.0052011571167368455
RAM,Crypto,2024-07-21,0,-0.0005365266110485291
RAM,Crypto,2024-07-21,1,-0.0004354057040843822
RAM,Crypto,2024-07-21,2,-0.002266057698062416
RAM,Crypto,2024-07-21,3,-0.003576956364319106
RAM,Crypto,2024-07-21,4,-0.0039175028403579904
RAM,Crypto,2024-07-21,5,-0.0077449706883123744
RAM,Crypto,2024-07-21,6,-0.010585915310158216
RAM,Crypto,2024-07-21,7,-0.01200108299786959
RAM,Crypto,2024-07-21,8,-0.013801595388867483
RAM,Crypto,2024-10-20,0,-0.013883436422232989
RAM,Crypto,2024-10-20,1,-0.03240770551151399
RAM,Crypto,2024-10-20,2,-0.043738989818185844
RAM,Crypto,2024-10-20,3,-0.05523704334912218
RAM,Crypto,2024-10-20,4,-0.06385424285475799
RAM,Crypto,2024-10-20,5,-0.07637134622485328
RAM,Crypto,2024-10-20,6,-0.09083434048388983
RAM,Crypto,2024-10-20,7,-0.10383270777358061
RAM,Crypto,2024-10-20,8,-0.11375321329153908
RAM,Crypto,2024-11-17,0,-0.008617199505635807
RAM,Crypto,2024-11-17,1,-0.021134302875731092
RAM,Crypto,2024-11-17,2,-0.03559729713476765
RAM,Crypto,2024-11-17,3,-0.04859566442445844
RAM,Crypto,2024-11-17,4,-0.0585161699424169
RAM,Crypto,2024-11-17,5,-0.0710173739836775
RAM,Crypto,2024-11-17,6,-0.07973161905275547
RAM,Crypto,2024-11-17,7,-0.07912057069835263
RAM,Crypto,2024-11-17,8,-0.07822574229921787
RAM,Crypto,2024-11-24,0,-0.012517103370095288
RAM,Crypto,2024-11-24,1,-0.026980097629131842
RAM,Crypto,2024-11-24,2,-0.039978464918822634
RAM,Crypto,2024-11-24,3,-0.0498989704367811
RAM,Crypto,2024-11-24,4,-0.06240017447804169
RAM,Crypto,2024-11-24,5,-0.07111441954711967
RAM,Crypto,2024-11-24,6,-0.07050337119271682
RAM,Crypto,2024-11-24,7,-0.06960854279358207
RAM,Crypto,2024-11-24,8,-0.07045774496000912
RAM,Crypto,2025-05-11,0,-0.002882649974989823
RAM,Crypto,2025-05-11,1,-0.003940618596661435
RAM,Crypto,2025-05-11,2,-0.0023249795991902742
RAM,Crypto,2025-05-11,3,-0.005618954908173044
RAM,Crypto,2025-05-11,4,-0.007118182718707622
RAM,Crypto,2025-05-11,5,-0.007208619787214484
RAM,Crypto,2025-05-11,6,-0.000585332235614861
RAM,Crypto,2025-05-11,7,-0.0005937818683658079
RAM,Crypto,2025-05-11,8,-0.001046122187643664
RAM,Crypto,2025-10-05,0,0.013427856693608058
RAM,Crypto,2025-10-05,1,-0.013761035297259739
RAM,Crypto,2025-10-05,2,0.025923524849900566
RAM,Crypto,2025-10-05,3,0.08449236399889347
RAM,Crypto,2025-10-05,4,0.1555091599267318
RAM,Crypto,2025-10-05,5,0.09338832575635012
RAM,Crypto,2025-10-05,6,0.1536552619777761
RAM,Crypto,2025-10-05,7,0.11209702113466143
RAM,Crypto,2025-10-05,8,0.08994878611721391
RAM,Crypto,2026-03-15,0,-0.002013725147709516
RAM,Crypto,2026-03-15,1,-0.0005048880074104167
RAM,Crypto,2026-03-15,2,0.002177553851403493
